epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,661.603,0.30649,0.84876,0.35449,0.23746,0.98994,0.99938,1,0.995,0.96485,0.9753,0.9759,0.9623,0.85154,0.28812,0.70734,0.60716,0.18866,0.63664,0.0002972,0.0002972,0.0002972
88,669.225,0.29217,0.86096,0.3658,0.2285,0.98819,0.99955,1,0.995,0.97107,0.97546,0.9759,0.9648,0.86791,0.27394,0.67417,0.60997,0.19426,0.61667,0.0002774,0.0002774,0.0002774
89,676.86,0.2951,0.76541,0.35819,0.22965,0.98432,0.9993,1,0.995,0.96478,0.98124,0.98193,0.97232,0.86426,0.27829,0.67245,0.61549,0.20518,0.62793,0.0002576,0.0002576,0.0002576
90,684.457,0.29538,0.80837,0.36212,0.23003,0.98775,0.99852,1,0.995,0.96836,0.98048,0.98193,0.97304,0.85702,0.27427,0.65533,0.60307,0.19957,0.61982,0.0002378,0.0002378,0.0002378
91,692.568,0.24483,0.72166,0.56774,0.1856,0.99204,0.99967,1,0.995,0.97166,0.98763,0.98795,0.97851,0.8392,0.27382,0.65492,0.59223,0.19629,0.61074,0.000218,0.000218,0.000218
92,700.158,0.2276,0.67534,0.56043,0.16538,0.98048,0.99966,1,0.995,0.97021,0.99364,0.99398,0.98904,0.87095,0.27732,0.60138,0.58755,0.19803,0.62509,0.0001982,0.0001982,0.0001982
93,707.767,0.21912,0.61108,0.54841,0.15253,0.97886,0.99966,1,0.995,0.97628,0.99364,0.99398,0.9891,0.88243,0.27068,0.60253,0.57794,0.19533,0.61013,0.0001784,0.0001784,0.0001784
94,715.377,0.21421,0.63358,0.54312,0.155,0.98135,0.99966,1,0.995,0.97478,0.99364,0.99398,0.9891,0.89539,0.2752,0.554,0.58055,0.20728,0.6272,0.0001586,0.0001586,0.0001586
95,723.099,0.21111,0.60757,0.54791,0.15231,0.97021,0.99966,1,0.995,0.97777,0.99364,0.99398,0.98958,0.89038,0.25992,0.57621,0.58263,0.19049,0.59657,0.0001388,0.0001388,0.0001388
96,730.673,0.20373,0.5938,0.54364,0.14464,0.9702,0.99967,1,0.995,0.97534,0.98161,0.98193,0.97253,0.88459,0.26446,0.56598,0.58938,0.18897,0.60865,0.000119,0.000119,0.000119
97,738.26,0.20396,0.60225,0.54639,0.14501,0.95908,0.99967,1,0.995,0.98306,0.99365,0.99398,0.98904,0.89177,0.25032,0.54802,0.58913,0.17775,0.59435,9.92e-05,9.92e-05,9.92e-05
98,745.846,0.19518,0.57341,0.5403,0.13985,0.96404,0.99968,1,0.995,0.97588,0.99366,0.99398,0.98904,0.90545,0.25977,0.54422,0.58575,0.18483,0.60578,7.94e-05,7.94e-05,7.94e-05
99,753.434,0.19934,0.5415,0.5384,0.14212,0.97071,0.99967,1,0.995,0.98255,0.99365,0.99398,0.98904,0.9006,0.24778,0.53355,0.58281,0.19092,0.58941,5.96e-05,5.96e-05,5.96e-05
100,761.053,0.18978,0.57269,0.54012,0.13458,0.95628,0.99967,1,0.995,0.97881,0.99365,0.99398,0.9891,0.89274,0.24612,0.52379,0.58378,0.1818,0.59474,3.98e-05,3.98e-05,3.98e-05
